product_id,name,category,price,rating,availability,description
1,"iPhone 15 Pro","Electronics",999.99,4.5,"In Stock","Latest iPhone with advanced camera"
2,"Samsung Galaxy S24","Electronics",899.99,4.3,"In Stock","Flagship Android smartphone"
3,"MacBook Pro 14""","Electronics",1999.99,4.7,"In Stock","Professional laptop for developers"
4,"Dell XPS 13","Electronics",1299.99,4.2,"Out of Stock","Ultrabook with premium design"
5,"Sony WH-1000XM5","Electronics",399.99,4.6,"In Stock","Noise-canceling headphones"
6,"Nike Air Max 270","Shoes",130.00,4.1,"In Stock","Comfortable running shoes"
7,"Adidas Ultraboost 22","Shoes",180.00,4.4,"In Stock","High-performance running shoes"
8,"Levi's 501 Jeans","Clothing",79.99,4.0,"In Stock","Classic straight-leg jeans"
9,"The Great Gatsby","Books",12.99,4.8,"In Stock","Classic American literature"
10,"Python Crash Course","Books",39.99,4.7,"In Stock","Programming book for beginners"
11,"Coffee Maker Pro","Kitchen",89.99,3.9,"In Stock","Programmable coffee maker"
12,"KitchenAid Mixer","Kitchen",349.99,4.8,"In Stock","Stand mixer for baking"
13,"Yoga Mat Premium","Sports",45.00,4.3,"In Stock","Non-slip exercise mat"
14,"Dumbbells Set","Sports",199.99,4.2,"Out of Stock","Adjustable weight set"
15,"Gaming Chair RGB","Furniture",299.99,4.0,"In Stock","Ergonomic chair with LED lights"
16,"Office Desk Wood","Furniture",199.99,3.8,"In Stock","Wooden desk for home office"
17,"Wireless Mouse","Electronics",29.99,4.1,"In Stock","Bluetooth computer mouse"
18,"Mechanical Keyboard","Electronics",129.99,4.5,"In Stock","RGB gaming keyboard"
19,"Water Bottle Steel","Sports",24.99,4.2,"In Stock","Insulated stainless steel bottle"
20,"Backpack Travel","Bags",79.99,4.4,"In Stock","Durable travel backpack" 
